Housing_Status,Monthly_Housing_Cost,Moves_Last_3_Years,Utility_Disconnection_Risk,Monthly_LGE_Bill,Monthly_Water_Bill,Eviction_Record,Transportation_Need_Score,Has_Car,Bus_Use
Homeless,1.0,3,No,1.0,1.0,No,0,Yes,Never
Renter - no rent past due,1025.0,0,Yes,46247.0,50.0,No,3,Yes,Sometimes
Renter - no rent past due,734.0,0,Maybe,150.0,1.0,No,4,Yes,Often
Staying at extended stay hotel or short-term housing,350.0,3,No,50.0,50.0,No,4,No,Often
Renter - past due rent,1600.0,0,Yes,150.0,35.0,No,4,Yes,Rarely
Renter - no rent past due,1200.0,1,No,200.0,200.0,Not sure,2,No,Often
Renter - no rent past due,1800.0,1,No,200.0,140.0,Not sure,2,Yes,Never
Renter - no rent past due,28.0,2,Yes,130.0,240.0,No,4,No,Often
Renter - past due rent,237.0,4,Maybe,150.0,1.0,Not sure,5,No,Never
Renter - no rent past due,1600.0,2,No,200.0,200.0,Yes,3,No,Often
Renter - no rent past due,1300.0,2,Yes,3000.0,300.0,Yes,0,Yes,Rarely
Own home - mortgage past due,1376.02,0,Maybe,300.0,340.0,Not sure,0,Yes,Never
Renter - no rent past due,550.0,1,Maybe,225.0,150.0,No,1,Yes,Rarely
Renter - no rent past due,437.0,3,No,1.0,1.0,No,5,No,Rarely
Renter - no rent past due,148.0,1,No,111.54,0.5,No,1,Yes,Never
Renter - past due rent,805.0,0,No,268.63,268.0,No,0,No,Sometimes
Staying with friends or family,1000.0,3,No,0.001,0.001,No,2,Yes,Never
Renter - past due rent,1700.0,1,No,150.0,150.0,No,0,Yes,Never
Renter - past due rent,1425.0,1,No,120.0,95.0,No,4,No,Often
Renter - no rent past due,950.0,1,No,100.0,58.0,Yes,2,Yes,Never
Renter - no rent past due,950.0,1,No,100.0,50.0,Yes,2,Yes,Never
Renter - no rent past due,192.0,2,No,0.01,0.01,Yes,4,No,Sometimes
Renter - no rent past due,650.0,0,Maybe,200.0,1.0,Not sure,4,No,Often
Staying with friends or family,550.0,More than 5,No,70.0,0.01,No,5,No,Often
Renter - no rent past due,1500.0,3,Maybe,75.0,60.0,No,2,Yes,Sometimes
Renter - no rent past due,1500.0,3,No,150.0,60.0,Yes,3,Yes,Sometimes
Renter - no rent past due,0.0,2,No,30.0,0.0,No,0,Yes,Never
Renter - no rent past due,18.0,0,No,0.0,0.0,No,1,No,Never
Renter - past due rent,710.0,1,No,0.0,0.0,No,3,Yes,Rarely
Homeless,0.0,1,No,0.0,0.0,No,5,Yes,Sometimes
